Movie,Runtime (in min),Genre,Rating,Box Office,Director
The Shawshank Redemption,142,Drama,9.3,$28.34M,Frank Darabont
The Godfather,175,"Crime, Drama",9.2,$134.97M,Francis Ford Coppola
The Lord of the Rings: The Return of the King,201,"Action, Adventure, Drama",9,$377.85M,Peter Jackson
12 Angry Men,96,"Crime, Drama",9,$4.36M,Sidney Lumet
The Dark Knight,152,"Action, Crime, Drama",9,$534.86M,Christopher Nolan
The Godfather Part II,202,"Crime, Drama",9,$57.30M,Francis Ford Coppola
Schindler's List,195,"Biography, Drama, History",9,$96.90M,Steven Spielberg
Pulp Fiction,154,"Crime, Drama",8.9,$107.93M,Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring,178,"Action, Adventure, Drama",8.8,$315.54M,Peter Jackson
"Il buono, il brutto, il cattivo",161,"Adventure, Western",8.8,$6.10M,Sergio Leone
Fight Club,139,Drama,8.8,$37.03M,David Fincher
The Lord of the Rings: The Two Towers,179,"Action, Adventure, Drama",8.8,$342.55M,Peter Jackson
Forrest Gump,142,"Drama, Romance",8.8,$330.25M,Robert Zemeckis
Inception,148,"Action, Adventure, Sci-Fi",8.8,$292.58M,Christopher Nolan
Interstellar,169,"Adventure, Drama, Sci-Fi",8.7,$188.02M,Christopher Nolan
The Matrix,136,"Action, Sci-Fi",8.7,$171.48M,Lana Wachowski
GoodFellas,145,"Biography, Crime, Drama",8.7,$46.84M,Martin Scorsese
Star Wars: Episode V - The Empire Strikes Back,124,"Action, Adventure, Fantasy",8.7,$290.48M,Irvin Kershner
One Flew Over the Cuckoo's Nest,133,Drama,8.7,$112.00M,Milos Forman
Terminator 2: Judgment Day,137,"Action, Sci-Fi",8.6,$204.84M,James Cameron
Saving Private Ryan,169,"Drama, War",8.6,$216.54M,Steven Spielberg
The Silence of the Lambs,118,"Crime, Drama, Thriller",8.6,$130.74M,Jonathan Demme
Cidade de Deus,130,"Crime, Drama",8.6,$7.56M,Fernando Meirelles
The Green Mile,189,"Crime, Drama, Fantasy",8.6,$136.80M,Frank Darabont
Star Wars,121,"Action, Adventure, Fantasy",8.6,$322.74M,George Lucas
Se7en,127,"Crime, Drama, Mystery",8.6,$100.13M,David Fincher
La vita è bella,116,"Comedy, Drama, Romance",8.6,$57.60M,Roberto Benigni
The Usual Suspects,106,"Crime, Drama, Mystery",8.5,$23.34M,Bryan Singer
The Pianist,150,"Biography, Drama, Music",8.5,$32.57M,Roman Polanski
Gladiator,155,"Action, Adventure, Drama",8.5,$187.71M,Ridley Scott
Once Upon a Time in the West,165,Western,8.5,$5.32M,Sergio Leone
Psycho,109,"Horror, Mystery, Thriller",8.5,$32.00M,Alfred Hitchcock
The Prestige,130,"Drama, Mystery, Sci-Fi",8.5,$53.09M,Christopher Nolan
City Lights,87,"Comedy, Drama, Romance",8.5,$0.02M,Charles Chaplin
American History X,119,"Crime, Drama",8.5,$6.72M,Tony Kaye
Modern Times,87,"Comedy, Drama, Romance",8.5,$0.16M,Charles Chaplin
The Intouchables,112,"Biography, Comedy, Drama",8.5,$13.18M,Olivier Nakache
The Departed,151,"Crime, Drama, Thriller",8.5,$132.38M,Martin Scorsese
Alien,117,"Horror, Sci-Fi",8.5,$78.90M,Ridley Scott
Rear Window,112,"Mystery, Thriller",8.5,$36.76M,Alfred Hitchcock
Casablanca,102,"Drama, Romance, War",8.5,$1.02M,Michael Curtiz
The Lion King,88,"Animation, Adventure, Drama",8.5,$422.78M,Roger Allers
Léon,110,"Action, Crime, Drama",8.5,$19.50M,Luc Besson
Back to the Future,116,"Adventure, Comedy, Sci-Fi",8.5,$210.61M,Robert Zemeckis
The Dark Knight Rises,164,"Action, Drama, Thriller",8.4,$448.14M,Christopher Nolan
Apocalypse Now,147,"Drama, Mystery, War",8.4,$83.47M,Francis Ford Coppola
The Lives of Others,137,"Drama, Mystery, Thriller",8.4,$11.29M,Florian Henckel von Donnersmarck
Django Unchained,165,"Drama, Western",8.4,$162.81M,Quentin Tarantino
Aliens,137,"Action, Adventure, Sci-Fi",8.4,$85.16M,James Cameron
Raiders of the Lost Ark,115,"Action, Adventure",8.4,$248.16M,Steven Spielberg
WALL·E,98,"Animation, Adventure, Family",8.4,$223.81M,Andrew Stanton
The Shining,146,"Drama, Horror",8.4,$44.02M,Stanley Kubrick
Das Boot,149,"Drama, War",8.4,$11.49M,Wolfgang Petersen
Memento,113,"Mystery, Thriller",8.4,$25.54M,Christopher Nolan
Star Wars: Episode VI - Return of the Jedi,131,"Action, Adventure, Fantasy",8.3,$309.13M,Richard Marquand
The Sting,129,"Comedy, Crime, Drama",8.3,$159.60M,George Roy Hill
Heat,170,"Action, Crime, Drama",8.3,$67.44M,Michael Mann
Inglourious Basterds,153,"Adventure, Drama, War",8.3,$120.54M,Quentin Tarantino
American Beauty,122,Drama,8.3,$130.10M,Sam Mendes
Eternal Sunshine of the Spotless Mind,108,"Drama, Romance, Sci-Fi",8.3,$34.40M,Michel Gondry
Scarface,170,"Crime, Drama",8.3,$45.60M,Brian De Palma
Lawrence of Arabia,218,"Adventure, Biography, Drama",8.3,$44.82M,David Lean
Vertigo,128,"Mystery, Romance, Thriller",8.3,$3.20M,Alfred Hitchcock
The Apartment,125,"Comedy, Drama, Romance",8.3,$18.60M,Billy Wilder
Good Will Hunting,126,"Drama, Romance",8.3,$138.43M,Gus Van Sant
Reservoir Dogs,99,"Crime, Thriller",8.3,$2.83M,Quentin Tarantino
A Clockwork Orange,136,"Crime, Sci-Fi",8.3,$6.21M,Stanley Kubrick
Le fabuleux destin d'Amélie Poulain,122,"Comedy, Romance",8.3,$33.23M,Jean-Pierre Jeunet
Full Metal Jacket,116,"Drama, War",8.3,$46.36M,Stanley Kubrick
North by Northwest,136,"Action, Adventure, Mystery",8.3,$13.28M,Alfred Hitchcock
Citizen Kane,119,"Drama, Mystery",8.3,$1.59M,Orson Welles
Braveheart,178,"Biography, Drama, History",8.3,$75.60M,Mel Gibson
Requiem for a Dream,102,Drama,8.3,$3.64M,Darren Aronofsky
2001: A Space Odyssey,149,"Adventure, Sci-Fi",8.3,$56.95M,Stanley Kubrick
Singin' in the Rain,103,"Comedy, Musical, Romance",8.3,$8.82M,Stanley Donen
Der Untergang,156,"Biography, Drama, History",8.2,$5.51M,Oliver Hirschbiegel
The Elephant Man,124,"Biography, Drama",8.2,"248,704",David Lynch
Jurassic Park,127,"Action, Adventure, Sci-Fi",8.2,$402.45M,Steven Spielberg
Batman Begins,140,"Action, Crime, Drama",8.2,$206.85M,Christopher Nolan
Casino,178,"Crime, Drama",8.2,$42.44M,Martin Scorsese
The Sixth Sense,107,"Drama, Mystery, Thriller",8.2,$293.51M,M. Night Shyamalan
Some Like It Hot,121,"Comedy, Music, Romance",8.2,$25.00M,Billy Wilder
Finding Nemo,100,"Animation, Adventure, Comedy",8.2,$380.84M,Andrew Stanton
No Country for Old Men,122,"Crime, Drama, Thriller",8.2,$74.28M,Ethan Coen
The Treasure of the Sierra Madre,126,"Adventure, Drama, Western",8.2,$5.01M,John Huston
Kill Bill: Vol. 1,111,"Action, Crime, Thriller",8.2,$70.10M,Quentin Tarantino
V for Vendetta,132,"Action, Drama, Sci-Fi",8.2,$70.51M,James McTeigue
The Truman Show,103,"Comedy, Drama",8.2,$125.62M,Peter Weir
Monty Python and the Holy Grail,91,"Adventure, Comedy, Fantasy",8.2,$1.23M,Terry Gilliam
Shutter Island,138,"Mystery, Thriller",8.2,$128.01M,Martin Scorsese
L.A. Confidential,138,"Crime, Drama, Mystery",8.2,$64.62M,Curtis Hanson
There Will Be Blood,158,Drama,8.2,$40.22M,Paul Thomas Anderson
Gone with the Wind,238,"Drama, Romance, War",8.2,$198.68M,Victor Fleming
The Thing,109,"Horror, Mystery, Sci-Fi",8.2,$13.78M,John Carpenter
Die Hard,132,"Action, Thriller",8.2,$83.01M,John McTiernan
Chinatown,130,"Drama, Mystery, Thriller",8.2,$8.49M,Roman Polanski
Pan's Labyrinth,118,"Drama, Fantasy, War",8.2,$37.63M,Guillermo del Toro
Taxi Driver,114,"Crime, Drama",8.2,$28.26M,Martin Scorsese
Snatch,104,"Comedy, Crime",8.2,$30.33M,Guy Ritchie
Indiana Jones and the Last Crusade,127,"Action, Adventure",8.2,$197.17M,Steven Spielberg
El secreto de sus ojos,129,"Drama, Mystery, Romance",8.2,$6.39M,Juan José Campanella
The Great Escape,172,"Adventure, Drama, History",8.2,$12.10M,John Sturges
A Beautiful Mind,135,"Biography, Drama",8.2,$170.74M,Ron Howard
Rocky,120,"Drama, Sport",8.1,$117.24M,John G. Avildsen
Ben-Hur,212,"Adventure, Drama",8.1,$74.70M,William Wyler
The Wizard of Oz,102,"Adventure, Family, Fantasy",8.1,$2.08M,Victor Fleming
The Big Lebowski,117,"Comedy, Crime",8.1,$17.50M,Joel Coen
Million Dollar Baby,132,"Drama, Sport",8.1,$100.49M,Clint Eastwood
Jaws,124,"Adventure, Mystery, Thriller",8.1,$260.00M,Steven Spielberg
Dead Poets Society,128,"Comedy, Drama",8.1,$95.86M,Peter Weir
Gran Torino,116,Drama,8.1,$148.10M,Clint Eastwood
Amores perros,154,"Drama, Thriller",8.1,$5.38M,Alejandro G. Iñárritu
The Terminator,107,"Action, Sci-Fi",8.1,$38.40M,James Cameron
Platoon,120,"Drama, War",8.1,$138.53M,Oliver Stone
Stand by Me,89,"Adventure, Drama",8.1,$52.29M,Rob Reiner
Raging Bull,129,"Biography, Drama, Sport",8.1,$23.38M,Martin Scorsese
The Exorcist,122,Horror,8.1,$232.91M,William Friedkin
Catch Me If You Can,141,"Biography, Crime, Drama",8.1,$164.62M,Steven Spielberg
"Lock, Stock and Two Smoking Barrels",107,"Action, Comedy, Crime",8.1,$3.90M,Guy Ritchie
The Deer Hunter,183,"Drama, War",8.1,$48.98M,Michael Cimino
Ratatouille,111,"Animation, Adventure, Comedy",8.1,$206.45M,Brad Bird
Cool Hand Luke,127,"Crime, Drama",8.1,$16.22M,Stuart Rosenberg
"Monsters, Inc.",92,"Animation, Adventure, Comedy",8.1,$289.92M,Pete Docter
Blade Runner,117,"Action, Drama, Sci-Fi",8.1,$32.87M,Ridley Scott
12 Years a Slave,134,"Biography, Drama, History",8.1,$56.67M,Steve McQueen
Mad Max: Fury Road,120,"Action, Adventure, Sci-Fi",8.1,$154.06M,George Miller
Prisoners,153,"Crime, Drama, Mystery",8.1,$61.00M,Denis Villeneuve
The Bridge on the River Kwai,161,"Adventure, Drama, War",8.1,$44.91M,David Lean
Hotel Rwanda,121,"Biography, Drama, History",8.1,$23.53M,Terry George
The Third Man,104,"Film-Noir, Mystery, Thriller",8.1,$0.45M,Carol Reed
Pirates of the Caribbean: The Curse of the Black Pearl,143,"Action, Adventure, Fantasy",8.1,$305.41M,Gore Verbinski
Trainspotting,93,Drama,8.1,$16.50M,Danny Boyle
Fargo,98,"Crime, Thriller",8.1,$24.61M,Joel Coen
Magnolia,188,Drama,8,$22.46M,Paul Thomas Anderson
Mar adentro,126,"Biography, Drama",8,$2.09M,Alejandro Amenábar
Casino Royale,144,"Action, Adventure, Thriller",8,$167.45M,Martin Campbell
The King's Speech,118,"Biography, Drama, History",8,$138.80M,Tom Hooper
Twelve Monkeys,129,"Mystery, Sci-Fi, Thriller",8,$57.14M,Terry Gilliam
Dogville,178,"Crime, Drama",8,$1.53M,Lars von Trier
Black Swan,108,"Drama, Thriller",8,$106.95M,Darren Aronofsky
Scent of a Woman,156,Drama,8,$63.90M,Martin Brest
Rain Man,133,Drama,8,$178.80M,Barry Levinson
Donnie Darko,113,"Drama, Mystery, Sci-Fi",8,$1.48M,Richard Kelly
Rosemary's Baby,137,"Drama, Horror",8,"224,252",Roman Polanski
Big Fish,125,"Adventure, Drama, Fantasy",8,$66.26M,Tim Burton
Papillon,151,"Biography, Crime, Drama",8,$53.27M,Franklin J. Schaffner
Kill Bill: Vol. 2,137,"Action, Crime, Thriller",8,$66.21M,Quentin Tarantino
The Bourne Ultimatum,115,"Action, Mystery, Thriller",8,$227.47M,Paul Greengrass
Rio Bravo,141,"Drama, Western",8,$12.54M,Howard Hawks
Who's Afraid of Virginia Woolf?,131,Drama,8,"77,667",Mike Nichols
81⁄2,138,"Biography, Drama",8,$0.05M,Federico Fellini
Sin City,124,"Crime, Thriller",8,$74.10M,Frank Miller
Blood Diamond,143,"Adventure, Drama, Thriller",8,$57.37M,Edward Zwick
Slumdog Millionaire,120,"Crime, Drama, Romance",8,$141.32M,Danny Boyle
Groundhog Day,101,"Comedy, Drama, Fantasy",8,$70.91M,Harold Ramis
JFK,189,"Drama, History, Thriller",8,$70.41M,Oliver Stone
Dances with Wolves,181,"Adventure, Drama, Western",8,$184.21M,Kevin Costner
True Romance,119,"Crime, Drama, Romance",7.9,$12.28M,Tony Scott
Wo hu cang long,120,"Action, Adventure, Drama",7.9,$128.08M,Ang Lee
All the President's Men,138,"Drama, History, Thriller",7.9,$70.60M,Alan J. Pakula
Carlito's Way,144,"Crime, Drama, Thriller",7.9,$36.95M,Brian De Palma
The Wrestler,109,"Drama, Sport, Thriller",7.9,$26.24M,Darren Aronofsky
Cat on a Hot Tin Roof,108,Drama,7.9,$17.57M,Richard Brooks
Shaun of the Dead,99,"Comedy, Horror",7.9,$13.54M,Edgar Wright
The Bourne Identity,119,"Action, Mystery, Thriller",7.9,$121.66M,Doug Liman
