Book Title,Author Name,Runtime
Warrior Fae,"Caroline Peckham, Susanne Valenti",29 hrs and 37 mins
Choose Your Enemies,Sandy Mitchell,10 hrs and 4 mins
The Ritual,Shantel Tessier,16 hrs and 46 mins
Reckless,Elsie Silver,9 hrs and 58 mins
The Puppeteers,Jason Chaffetz,8 hrs and 49 mins
Holy Spirit: The Bondage Breaker,David Diga Hernandez,8 hrs and 40 mins
The Shift,Tinx,5 hrs and 17 mins
"Workbook for Designing, Implementing, and Evaluating a Sharps Injury Prevention Program",Jeremiah Gutierrez,2 hrs and 14 mins
The Gift,Sebastian Fitzek,7 hrs and 8 mins
Data Research Algorithms About Outlier Detection,Kory Costello,3 hrs and 33 mins
FFFHAMS,Eloheem Ali,9 hrs and 34 mins
The Complete Poppy War Trilogy,R. F. Kuang,66 hrs and 29 mins
Battleborne Book IV: Dungeon Master,Dave Willmarth,15 hrs and 28 mins
Shift Point,Franklin Horton,10 hrs and 16 mins
Campaign Marketing Strategy Analysis of a New Product Launch in Czech,Kasondra Urmetz,1 hr and 24 mins
Aster Fall,David North,20 hrs and 22 mins
Sweet Regret,K. Bromberg,9 hrs and 24 mins
"Love, Theoretically",Ali Hazelwood,12 hrs and 33 mins
Forbidden Hearts,Corinne Michaels,9 hrs and 23 mins
