Book Title,Author Name,Runtime
Warrior Fae,"Caroline Peckham, Susanne Valenti",29 hrs and 37 mins
Choose Your Enemies,Sandy Mitchell,10 hrs and 4 mins
The Ritual,Shantel Tessier,16 hrs and 46 mins
Reckless,Elsie Silver,9 hrs and 58 mins
The Puppeteers,Jason Chaffetz,8 hrs and 49 mins
Holy Spirit: The Bondage Breaker,David Diga Hernandez,8 hrs and 40 mins
The Shift,Tinx,5 hrs and 17 mins
"Workbook for Designing, Implementing, and Evaluating a Sharps Injury Prevention Program",Jeremiah Gutierrez,2 hrs and 14 mins
The Gift,Sebastian Fitzek,7 hrs and 8 mins
Data Research Algorithms About Outlier Detection,Kory Costello,3 hrs and 33 mins
FFFHAMS,Eloheem Ali,9 hrs and 34 mins
The Complete Poppy War Trilogy,R. F. Kuang,66 hrs and 29 mins
Battleborne Book IV: Dungeon Master,Dave Willmarth,15 hrs and 28 mins
Shift Point,Franklin Horton,10 hrs and 16 mins
Campaign Marketing Strategy Analysis of a New Product Launch in Czech,Kasondra Urmetz,1 hr and 24 mins
Aster Fall,David North,20 hrs and 22 mins
Sweet Regret,K. Bromberg,9 hrs and 24 mins
"Love, Theoretically",Ali Hazelwood,12 hrs and 33 mins
Forbidden Hearts,Corinne Michaels,9 hrs and 23 mins
Saving Supervillains 4,Bruce Sentar,12 hrs and 24 mins
Flaunt,Adriana Locke,7 hrs and 27 mins
Good as Gold,Sarina Bowen,10 hrs and 43 mins
Central Park West,James Comey,10 hrs and 35 mins
Shattersoul,Kyle Kirrin,20 hrs and 15 mins
Terms and Conditions,Lauren Asher,13 hrs and 12 mins
Primeiro Milhão [First Million],Raiam Santos,2 hrs and 47 mins
Smart Technology Application in the Healthcare Industry,Kristina Govan,1 hr and 47 mins
Tracking Justice,"L.T. Ryan, C.R. Gray",8 hrs and 25 mins
How to Do Magic That Works,Genevieve Davis,2 hrs and 22 mins
From the World of Percy Jackson: Sun and the Star,"Rick Riordan, Mark Oshiro",13 hrs and 30 mins
10x Is Easier than 2x,"Dan Sullivan, Dr. Benjamin Hardy",9 hrs and 58 mins
Roman,Grae Bryan,8 hrs and 8 mins
Love Me Today,A.L. Jackson,10 hrs and 47 mins
Lady's Well,LJ Ross,8 hrs and 16 mins
The Five-Star Weekend,Elin Hilderbrand,12 hrs and 45 mins
One and Only,Karla Sorensen,8 hrs and 53 mins
Hold Your Breath,Helen Phifer,8 hrs and 55 mins
Prince of the Sorrows,Kellen Graves,13 hrs and 28 mins
Montego,Brian McClellan,3 hrs and 10 mins
My Husband's House,Sheryl Browne,10 hrs and 4 mins
My Magnolia Summer,Victoria Benton Frank,11 hrs and 36 mins
The Modern Girl's Guide to Magic,Linsey Hall,8 hrs and 36 mins
Strength Unleashed: Startup,Ajax Lygan,14 hrs and 4 mins
The Body on Archangel Beach,Clara Benson,6 hrs and 51 mins
The One That Got Away,JD Kirk,12 hrs and 13 mins
Keeper of Secrets,Denise Grover Swank,9 hrs and 7 mins
The Divine and the Cursed,J.E. Reed,11 hrs and 35 mins
Villain Era,Luna Pierce,12 hrs and 29 mins
Alison Bechdel’s Dykes to Watch Out For,"Alison Bechdel, Madeleine George",3 hrs
System Reborn Vol 3 & 4,Kaz Hunter,10 hrs and 59 mins
"The Lost & the Found: Adrian's March, Part Six",Chris Philbrook,8 hrs and 48 mins
Fortune Teller,Jana DeLeon,Not Yet Known
Forsaken Crown,"J.N. Chaney, Scott Moon",11 hrs and 34 mins
Meat Eater,Steven Rinella,7 hrs and 1 min
Widow Lake,Rita Herron,8 hrs and 42 mins
The Deborah Mantle,Christy Johnston,7 hrs and 46 mins
A Kingdom of Nomads,S.B. Nova,25 hrs and 55 mins
The Umbral Storm,Alec Hutson,23 hrs and 20 mins
Savannah,SunriseCV,14 hrs and 31 mins
The Silmarillion,"J. R. R. Tolkien, Christopher Tolkien",19 hrs and 24 mins
Domestic Extremist,Peachy Keenan,11 hrs
Xeno Slayer: A Science Fiction Action Adventure,"Dan Raxor, Tyler Bowman",10 hrs and 21 mins
Aftermath,Craig Alanson,21 hrs and 6 mins
The Longmire Defense,Craig Johnson,11 hrs and 15 mins
"CISSP All-in-One Exam Guide, Ninth Edition","Fernando Maymi, Shon Harris",51 hrs and 34 mins
Clue Krewe,Jana DeLeon,10 hrs and 1 min
Offside Hearts,Nikki Lawson,13 hrs and 27 mins
Breaker of Horizons 2,NoDragons,16 hrs and 22 mins
"Crucial Influence, Third Edition","Joseph Grenny, Kerry Patterson, David Maxfield, Ron McMillan, Al Switzler",5 hrs and 33 mins
Silent Ruin,David J. Gatward,9 hrs and 24 mins
The Primal Hunter 5,Zogarth,17 hrs and 47 mins
Made for Romeo,Natasha Madison,7 hrs and 27 mins
Lament at Loon Landing,Josh Lanyon,6 hrs and 6 mins
The Undertow,Jeff Sharlet,11 hrs and 45 mins
Fourth Wing,Rebecca Yarros,20 hrs and 47 mins
Death at the Chateau,Ian Moore,7 hrs and 23 mins
World Agricultural Technology Book 2023,David George,5 hrs and 58 mins
Ward D,Freida McFadden,7 hrs and 20 mins
Never Kiss a Cowgirl,Ali Vali,10 hrs and 6 mins
System Collapse,Martha Wells,6 hrs and 45 mins
False Truth,Helena Marchmont,2 hrs and 56 mins
The Rise of Western Christendom (10th Anniversary Revised Edition),Peter Brown,26 hrs and 48 mins
The Postcard,"Anne Berest, Tina Kover - translator",13 hrs and 12 mins
Contractually Yours,Nadia Lee,11 hrs and 44 mins
Resisting the Grump,Ashley Munoz,10 hrs and 13 mins
Calling Bullsh*t on Busy,Andrew Mellen,7 hrs
